Neighbourhood Name,Hood_ID,Population density per square kilometre,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),  Average after-tax income of households in 2015 ($),Unemployment rate,Population,Average age
Flemingdon Park,44.0,9026.0,4385.0,3060.0,9185.0,2335.0,2980.0,285.0,261233.0,10.6,22230.0,37.7791273054431
Forest Hill North,102.0,8054.0,2060.0,1500.0,5390.0,1725.0,2135.0,350.0,258469.0,7.4,13160.0,41.723974164133736
Forest Hill South,101.0,4380.0,1365.0,1355.0,4235.0,1530.0,2260.0,325.0,784645.0,5.6,11070.0,44.39205058717254
Glenfield-Jane Heights,25.0,5864.0,5790.0,4520.0,11590.0,3605.0,5005.0,700.0,410012.0,11.5,31210.0,39.597805190644024
Greenwood-Coxwell,65.0,8582.0,2460.0,1305.0,7240.0,1765.0,1640.0,200.0,216423.0,7.2,14610.0,39.26522929500342
Guildwood,140.0,2673.0,1295.0,1065.0,3370.0,1555.0,2635.0,540.0,177062.0,7.9,10460.0,47.70506692160612
Henry Farm,53.0,6047.0,2505.0,2330.0,8045.0,1390.0,1460.0,135.0,202357.0,10.3,15865.0,36.83753545540498
High Park North,88.0,11726.0,2850.0,1890.0,11660.0,2585.0,3180.0,550.0,496958.0,7.1,22715.0,42.105767114241694
High Park-Swansea,87.0,4893.0,3540.0,2125.0,11570.0,2870.0,3800.0,755.0,483620.0,6.0,24660.0,42.302210056772104
Highland Creek,134.0,2403.0,1545.0,1925.0,4620.0,2020.0,2395.0,190.0,196620.0,8.5,12695.0,43.072666404096104
Hillcrest Village,48.0,3148.0,2115.0,2170.0,6060.0,2265.0,4305.0,630.0,298716.0,8.3,17545.0,46.034910230834996
Humber Heights-Westmount,8.0,3981.0,1450.0,1140.0,3790.0,1510.0,3045.0,950.0,238655.0,7.4,11885.0,48.889777029869585
Humber Summit,21.0,1570.0,2155.0,1720.0,4855.0,1315.0,2380.0,260.0,202677.0,9.6,12685.0,40.933385888845095
Humbermede,22.0,3565.0,2945.0,2225.0,6445.0,1760.0,2160.0,260.0,184459.0,10.2,15795.0,38.45520734409623
Humewood-Cedarvale,106.0,7682.0,2165.0,1610.0,7005.0,1650.0,1940.0,280.0,289910.0,7.1,14650.0,40.32235494880546
Ionview,125.0,7031.0,2310.0,1645.0,6050.0,1720.0,1890.0,245.0,169046.0,8.8,13860.0,39.83676046176046
Islington-City Centre West,14.0,2712.0,5820.0,4695.0,20640.0,5400.0,7405.0,1480.0,854623.0,7.3,45440.0,42.91477772887324
Junction Area,90.0,5442.0,2190.0,1465.0,7470.0,1750.0,1500.0,175.0,310473.0,5.6,14550.0,39.20704467353952
Keelesdale-Eglinton West,110.0,6467.0,1610.0,1430.0,4790.0,1435.0,1785.0,230.0,184802.0,8.6,11280.0,41.4155585106383
Kennedy Park,124.0,4770.0,2775.0,2175.0,7120.0,2510.0,2550.0,330.0,229390.0,9.1,17460.0,40.76302978235968
Kensington-Chinatown,78.0,11806.0,1315.0,3350.0,8760.0,1795.0,2705.0,480.0,222404.0,8.2,18405.0,41.89228470524314
Kingsview Village-The Westway,6.0,4356.0,4240.0,3020.0,8635.0,2550.0,3585.0,575.0,272950.0,9.9,22605.0,39.77560274275603
Kingsway South,15.0,3593.0,1580.0,1100.0,3245.0,1345.0,1995.0,325.0,900624.0,7.5,9590.0,43.58342022940563
Lambton Baby Point,114.0,4697.0,1695.0,905.0,3310.0,1050.0,1025.0,140.0,214945.0,7.6,8125.0,38.33938461538462
L'Amoreaux,117.0,6144.0,6120.0,5730.0,17210.0,5930.0,8990.0,1345.0,529383.0,10.9,45325.0,43.591395477109764
Lansing-Westgate,38.0,3038.0,2420.0,2105.0,7590.0,1910.0,2160.0,360.0,356122.0,7.2,16545.0,40.13523723179208
Lawrence Park North,105.0,6407.0,3280.0,1670.0,5980.0,1725.0,1935.0,265.0,470908.0,6.4,14855.0,37.83389431167957
Lawrence Park South,103.0,4685.0,2845.0,2095.0,5870.0,2115.0,2235.0,315.0,1216585.0,7.5,15475.0,39.60420032310178
Leaside-Bennington,56.0,3596.0,3285.0,2175.0,6455.0,2340.0,2550.0,400.0,841619.0,6.9,17205.0,39.80587038651555
Little Portugal,84.0,12859.0,1400.0,1605.0,9385.0,1325.0,1855.0,255.0,202912.0,6.4,15825.0,41.165402843601896
Long Branch,19.0,4584.0,1335.0,1130.0,4705.0,1520.0,1405.0,140.0,137480.0,7.1,10235.0,41.51856375183195
Malvern,132.0,4948.0,7910.0,6620.0,17865.0,5535.0,5890.0,445.0,533202.0,10.5,44265.0,38.38325991189427
Maple Leaf,29.0,4012.0,1500.0,1265.0,4110.0,1205.0,2030.0,380.0,144062.0,8.1,10490.0,43.25643469971401
Markland Wood,12.0,3614.0,1340.0,1165.0,3600.0,1735.0,2705.0,535.0,195412.0,6.2,11080.0,47.462093862815884
Milliken,130.0,2830.0,3675.0,3195.0,10565.0,4030.0,5115.0,880.0,525507.0,9.5,27460.0,43.82938820101967
Mimico (includes Humber Bay Shores),17.0,4915.0,3505.0,3010.0,17695.0,4620.0,5160.0,565.0,583422.0,6.2,34555.0,43.1803646360874
Morningside,135.0,3041.0,2880.0,2690.0,6840.0,2355.0,2695.0,355.0,272837.0,11.4,17815.0,40.14692674712321
Moss Park,73.0,14753.0,1540.0,2060.0,12530.0,2495.0,1900.0,140.0,170813.0,6.9,20665.0,41.07125574643116
Mount Dennis,115.0,6442.0,2395.0,1815.0,5930.0,1760.0,1685.0,265.0,164344.0,10.8,13850.0,38.99007220216607
Mount Olive-Silverstone-Jamestown,2.0,7291.0,7090.0,5240.0,13615.0,3475.0,3560.0,300.0,360648.0,12.1,33280.0,35.72310697115385
Mount Pleasant East,99.0,5411.0,2980.0,1705.0,7620.0,2020.0,2455.0,260.0,348357.0,6.9,17040.0,39.994865023474176
Mount Pleasant West,104.0,21969.0,2380.0,2520.0,17100.0,3030.0,4605.0,940.0,443047.0,6.7,30575.0,44.049386753883894
New Toronto,18.0,3342.0,1610.0,1390.0,5215.0,1580.0,1525.0,140.0,188819.0,8.7,11460.0,40.54559336823735
Newtonbrook East,50.0,3926.0,1585.0,2185.0,6860.0,2155.0,3320.0,670.0,335768.0,8.8,16775.0,45.23666169895678
Newtonbrook West,36.0,5070.0,2810.0,3325.0,10410.0,3110.0,4165.0,685.0,260415.0,8.4,24505.0,42.903387063864514
Niagara,82.0,10156.0,2055.0,2415.0,23320.0,1885.0,1510.0,95.0,369683.0,4.5,31280.0,38.87787723785166
North Riverdale,68.0,6770.0,1960.0,1170.0,5490.0,1645.0,1660.0,140.0,318764.0,5.3,12065.0,40.420016576875256
North St. James Town,74.0,44321.0,2290.0,2265.0,10350.0,1970.0,1740.0,220.0,144164.0,10.4,18835.0,39.04632333421821
Oakridge,121.0,7444.0,2865.0,1680.0,6050.0,1595.0,1655.0,255.0,134303.0,14.6,14100.0,37.76542553191489
Oakwood Village,107.0,9511.0,3130.0,2275.0,9535.0,2590.0,3700.0,540.0,267062.0,6.8,21770.0,42.27882406982086
O'Connor-Parkview,54.0,3780.0,3110.0,2385.0,7855.0,2650.0,2690.0,430.0,354525.0,10.1,19120.0,40.50862970711297
Old East York,58.0,3997.0,1470.0,915.0,4035.0,1280.0,1520.0,230.0,257522.0,5.0,9450.0,42.03439153439153
Palmerston-Little Italy,80.0,9601.0,1280.0,1465.0,7845.0,1260.0,1960.0,290.0,347339.0,6.8,14100.0,42.12943262411348
Parkwoods-Donalda,45.0,4691.0,5840.0,4680.0,14780.0,4265.0,5250.0,775.0,623453.0,9.2,35590.0,40.161351503231245
Pelmo Park-Humberlea,23.0,2547.0,1745.0,1370.0,4645.0,1390.0,1590.0,205.0,154568.0,6.0,10945.0,40.3643216080402
Playter Estates-Danforth,67.0,8671.0,1150.0,735.0,3725.0,970.0,1220.0,195.0,194189.0,6.4,7995.0,41.93996247654784
Pleasant View,46.0,5273.0,2050.0,2080.0,6470.0,2020.0,3195.0,355.0,219209.0,10.0,16170.0,43.31880024737168
Princess-Rosethorn,10.0,2138.0,1770.0,1580.0,3825.0,1855.0,2025.0,325.0,538736.0,6.0,11380.0,42.54481546572935
Regent Park,72.0,16880.0,1635.0,1775.0,5575.0,1100.0,730.0,50.0,103250.0,9.6,10865.0,35.96134376438104
Rexdale-Kipling,4.0,4229.0,1640.0,1355.0,4300.0,1520.0,1730.0,300.0,134305.0,10.9,10845.0,41.81120331950208
Rockcliffe-Smythe,111.0,4414.0,3505.0,2740.0,9255.0,3090.0,3655.0,480.0,295358.0,9.2,22725.0,41.466116611661164
Roncesvalles,86.0,9851.0,2300.0,1305.0,7990.0,1690.0,1680.0,185.0,377518.0,6.7,15150.0,39.566501650165016
Rosedale-Moore Park,98.0,4500.0,2625.0,2185.0,7925.0,3030.0,5140.0,750.0,1413132.0,6.0,21655.0,46.34287693373355
Rouge,131.0,1260.0,7960.0,6700.0,18510.0,6690.0,6625.0,685.0,729154.0,8.2,47170.0,39.65804536781853
Runnymede-Bloor West Village,89.0,6333.0,2050.0,960.0,4605.0,1215.0,1245.0,195.0,223885.0,5.1,10270.0,38.67672833495618
Rustic,28.0,4734.0,1940.0,1405.0,3615.0,1115.0,1865.0,365.0,113995.0,9.1,10305.0,40.8551673944687
Scarborough Village,139.0,5395.0,3365.0,2360.0,6685.0,2095.0,2225.0,430.0,185967.0,13.0,17160.0,38.56118881118881
South Parkdale,85.0,9583.0,2115.0,2275.0,12440.0,2475.0,2540.0,360.0,258500.0,8.6,22205.0,41.383021841927494
South Riverdale,70.0,3136.0,3975.0,2445.0,15025.0,3120.0,3330.0,520.0,662651.0,6.5,28415.0,40.42160830547246
St.Andrew-Windfields,40.0,2430.0,2645.0,2540.0,6800.0,2625.0,3235.0,410.0,649291.0,8.3,18255.0,42.197069296083264
Steeles,116.0,5436.0,3150.0,2685.0,9500.0,3515.0,5755.0,955.0,363045.0,9.5,25560.0,45.83724569640063
Stonegate-Queensway,16.0,3199.0,4060.0,2495.0,10660.0,3660.0,4165.0,750.0,516575.0,6.7,25790.0,42.343447072508724
Tam O'Shanter-Sullivan,118.0,5073.0,3885.0,3225.0,10675.0,3510.0,6160.0,1220.0,475647.0,9.1,28675.0,44.85754141238012
Taylor-Massey,61.0,15528.0,2950.0,1690.0,7580.0,1750.0,1705.0,270.0,102259.0,11.5,15945.0,38.12888052681091
The Beaches,63.0,6058.0,3825.0,2075.0,9590.0,3140.0,2955.0,265.0,659192.0,5.7,21850.0,40.1383295194508
Thistletown-Beaumond Heights,3.0,3130.0,1730.0,1410.0,4160.0,1195.0,1880.0,350.0,140050.0,10.4,10725.0,41.564335664335665
Thorncliffe Park,55.0,6787.0,5600.0,2455.0,9020.0,1665.0,2365.0,425.0,195114.0,12.6,21530.0,35.1105434277752
Trinity-Bellwoods,81.0,9570.0,1745.0,1630.0,9210.0,1625.0,2350.0,330.0,333954.0,6.1,16890.0,41.96462403789224
University,79.0,5395.0,565.0,1485.0,3590.0,650.0,1320.0,305.0,197072.0,8.3,7915.0,42.74384080859128
