Neighbourhood Name,MCI,number_of_crime,Hood_ID,population_density,Unemployment rate,Population,Average age,household_income
Beechborough-Greenbrook,Break and Enter,12.0,112.0,3614.0,11.4,6720.0,40.252232142857146,109880.0
Beechborough-Greenbrook,Robbery,13.0,112.0,3614.0,11.4,6720.0,40.252232142857146,109880.0
Beechborough-Greenbrook,Theft Over,3.0,112.0,3614.0,11.4,6720.0,40.252232142857146,109880.0
Beechborough-Greenbrook,bicycle theft,1.0,112.0,3614.0,11.4,6720.0,40.252232142857146,109880.0
Bendale,Assault,251.0,127.0,4011.0,8.8,30890.0,41.379248947879574,326482.0
Bendale,Auto Theft,45.0,127.0,4011.0,8.8,30890.0,41.379248947879574,326482.0
Bendale,Break and Enter,56.0,127.0,4011.0,8.8,30890.0,41.379248947879574,326482.0
Bendale,Robbery,67.0,127.0,4011.0,8.8,30890.0,41.379248947879574,326482.0
Bendale,Theft Over,14.0,127.0,4011.0,8.8,30890.0,41.379248947879574,326482.0
Bendale,bicycle theft,11.0,127.0,4011.0,8.8,30890.0,41.379248947879574,326482.0
Bendale,homicide,3.0,127.0,4011.0,8.8,30890.0,41.379248947879574,326482.0
Birchcliffe-Cliffside,Assault,197.0,122.0,3765.0,8.8,22920.0,43.005999127399654,369161.0
Birchcliffe-Cliffside,Auto Theft,16.0,122.0,3765.0,8.8,22920.0,43.005999127399654,369161.0
Birchcliffe-Cliffside,Break and Enter,77.0,122.0,3765.0,8.8,22920.0,43.005999127399654,369161.0
Birchcliffe-Cliffside,Robbery,22.0,122.0,3765.0,8.8,22920.0,43.005999127399654,369161.0
Birchcliffe-Cliffside,Theft Over,6.0,122.0,3765.0,8.8,22920.0,43.005999127399654,369161.0
Birchcliffe-Cliffside,bicycle theft,22.0,122.0,3765.0,8.8,22920.0,43.005999127399654,369161.0
Black Creek,Assault,264.0,24.0,6282.0,12.7,22080.0,37.322463768115945,261560.0
Black Creek,Auto Theft,52.0,24.0,6282.0,12.7,22080.0,37.322463768115945,261560.0
Black Creek,Break and Enter,28.0,24.0,6282.0,12.7,22080.0,37.322463768115945,261560.0
Black Creek,Robbery,37.0,24.0,6282.0,12.7,22080.0,37.322463768115945,261560.0
Black Creek,Theft Over,6.0,24.0,6282.0,12.7,22080.0,37.322463768115945,261560.0
Black Creek,bicycle theft,4.0,24.0,6282.0,12.7,22080.0,37.322463768115945,261560.0
Black Creek,homicide,1.0,24.0,6282.0,12.7,22080.0,37.322463768115945,261560.0
Blake-Jones,Assault,69.0,69.0,8134.0,8.5,7845.0,38.536647546207774,154132.0
Blake-Jones,Auto Theft,4.0,69.0,8134.0,8.5,7845.0,38.536647546207774,154132.0
Blake-Jones,Break and Enter,24.0,69.0,8134.0,8.5,7845.0,38.536647546207774,154132.0
Blake-Jones,Robbery,14.0,69.0,8134.0,8.5,7845.0,38.536647546207774,154132.0
Blake-Jones,bicycle theft,12.0,69.0,8134.0,8.5,7845.0,38.536647546207774,154132.0
Blake-Jones,homicide,1.0,69.0,8134.0,8.5,7845.0,38.536647546207774,154132.0
Briar Hill-Belgravia,Assault,64.0,108.0,7791.0,8.7,14585.0,41.81522111758656,190243.0
Briar Hill-Belgravia,Auto Theft,16.0,108.0,7791.0,8.7,14585.0,41.81522111758656,190243.0
Briar Hill-Belgravia,Break and Enter,31.0,108.0,7791.0,8.7,14585.0,41.81522111758656,190243.0
Briar Hill-Belgravia,Robbery,21.0,108.0,7791.0,8.7,14585.0,41.81522111758656,190243.0
Briar Hill-Belgravia,Theft Over,5.0,108.0,7791.0,8.7,14585.0,41.81522111758656,190243.0
Briar Hill-Belgravia,bicycle theft,7.0,108.0,7791.0,8.7,14585.0,41.81522111758656,190243.0
Bridle Path-Sunnybrook-York Mills,Assault,20.0,41.0,1040.0,8.0,9505.0,42.64334560757496,1392010.0
Bridle Path-Sunnybrook-York Mills,Auto Theft,12.0,41.0,1040.0,8.0,9505.0,42.64334560757496,1392010.0
Bridle Path-Sunnybrook-York Mills,Break and Enter,52.0,41.0,1040.0,8.0,9505.0,42.64334560757496,1392010.0
Bridle Path-Sunnybrook-York Mills,Robbery,2.0,41.0,1040.0,8.0,9505.0,42.64334560757496,1392010.0
Bridle Path-Sunnybrook-York Mills,Theft Over,4.0,41.0,1040.0,8.0,9505.0,42.64334560757496,1392010.0
Bridle Path-Sunnybrook-York Mills,bicycle theft,6.0,41.0,1040.0,8.0,9505.0,42.64334560757496,1392010.0
Broadview North,Assault,61.0,57.0,6764.0,8.2,11745.0,42.729885057471265,126349.0
Broadview North,Auto Theft,8.0,57.0,6764.0,8.2,11745.0,42.729885057471265,126349.0
Broadview North,Break and Enter,15.0,57.0,6764.0,8.2,11745.0,42.729885057471265,126349.0
Broadview North,Robbery,14.0,57.0,6764.0,8.2,11745.0,42.729885057471265,126349.0
Broadview North,Theft Over,2.0,57.0,6764.0,8.2,11745.0,42.729885057471265,126349.0
Broadview North,bicycle theft,13.0,57.0,6764.0,8.2,11745.0,42.729885057471265,126349.0
Brookhaven-Amesbury,Assault,110.0,30.0,5045.0,10.0,18045.0,38.05264616237185,176688.0
Brookhaven-Amesbury,Auto Theft,28.0,30.0,5045.0,10.0,18045.0,38.05264616237185,176688.0
Brookhaven-Amesbury,Break and Enter,31.0,30.0,5045.0,10.0,18045.0,38.05264616237185,176688.0
Brookhaven-Amesbury,Robbery,26.0,30.0,5045.0,10.0,18045.0,38.05264616237185,176688.0
Brookhaven-Amesbury,Theft Over,1.0,30.0,5045.0,10.0,18045.0,38.05264616237185,176688.0
Brookhaven-Amesbury,bicycle theft,3.0,30.0,5045.0,10.0,18045.0,38.05264616237185,176688.0
Cabbagetown-South St. James Town,Assault,120.0,71.0,8335.0,8.0,11960.0,46.302048494983275,301145.0
Cabbagetown-South St. James Town,Auto Theft,8.0,71.0,8335.0,8.0,11960.0,46.302048494983275,301145.0
Cabbagetown-South St. James Town,Break and Enter,53.0,71.0,8335.0,8.0,11960.0,46.302048494983275,301145.0
Cabbagetown-South St. James Town,Robbery,24.0,71.0,8335.0,8.0,11960.0,46.302048494983275,301145.0
Cabbagetown-South St. James Town,Theft Over,7.0,71.0,8335.0,8.0,11960.0,46.302048494983275,301145.0
Cabbagetown-South St. James Town,bicycle theft,65.0,71.0,8335.0,8.0,11960.0,46.302048494983275,301145.0
Caledonia-Fairbank,Assault,80.0,109.0,6464.0,7.2,10120.0,40.36166007905138,132879.0
Caledonia-Fairbank,Auto Theft,13.0,109.0,6464.0,7.2,10120.0,40.36166007905138,132879.0
Caledonia-Fairbank,Break and Enter,13.0,109.0,6464.0,7.2,10120.0,40.36166007905138,132879.0
Caledonia-Fairbank,Robbery,24.0,109.0,6464.0,7.2,10120.0,40.36166007905138,132879.0
Caledonia-Fairbank,Theft Over,1.0,109.0,6464.0,7.2,10120.0,40.36166007905138,132879.0
Caledonia-Fairbank,bicycle theft,5.0,109.0,6464.0,7.2,10120.0,40.36166007905138,132879.0
Casa Loma,Assault,38.0,96.0,5683.0,6.6,11370.0,46.67985927880387,545338.0
Casa Loma,Auto Theft,5.0,96.0,5683.0,6.6,11370.0,46.67985927880387,545338.0
Casa Loma,Break and Enter,19.0,96.0,5683.0,6.6,11370.0,46.67985927880387,545338.0
Casa Loma,Robbery,1.0,96.0,5683.0,6.6,11370.0,46.67985927880387,545338.0
Casa Loma,Theft Over,7.0,96.0,5683.0,6.6,11370.0,46.67985927880387,545338.0
Casa Loma,bicycle theft,13.0,96.0,5683.0,6.6,11370.0,46.67985927880387,545338.0
Centennial Scarborough,Assault,47.0,133.0,2479.0,7.6,13530.0,41.28658536585366,215135.0
Centennial Scarborough,Auto Theft,5.0,133.0,2479.0,7.6,13530.0,41.28658536585366,215135.0
Centennial Scarborough,Break and Enter,19.0,133.0,2479.0,7.6,13530.0,41.28658536585366,215135.0
Centennial Scarborough,Robbery,13.0,133.0,2479.0,7.6,13530.0,41.28658536585366,215135.0
Centennial Scarborough,Theft Over,2.0,133.0,2479.0,7.6,13530.0,41.28658536585366,215135.0
Centennial Scarborough,bicycle theft,6.0,133.0,2479.0,7.6,13530.0,41.28658536585366,215135.0
Church-Yonge Corridor,Assault,537.0,75.0,23044.0,8.5,31595.0,40.79071055546764,443734.0
Church-Yonge Corridor,Auto Theft,24.0,75.0,23044.0,8.5,31595.0,40.79071055546764,443734.0
