Neighbourhood Name,MCI,number_of_crime
Weston-Pelham Park,Theft Over,7
Weston-Pelham Park,bicycle theft,4
Weston-Pelham Park,homicide,1
Wexford/Maryvale,Assault,182
Wexford/Maryvale,Auto Theft,43
Wexford/Maryvale,Break and Enter,75
Wexford/Maryvale,Robbery,28
Wexford/Maryvale,Theft Over,11
Wexford/Maryvale,bicycle theft,8
Wexford/Maryvale,homicide,2
Willowdale East,Assault,147
Willowdale East,Auto Theft,46
Willowdale East,Break and Enter,80
Willowdale East,Robbery,29
Willowdale East,Theft Over,13
Willowdale East,bicycle theft,48
Willowdale West,Assault,97
Willowdale West,Auto Theft,12
Willowdale West,Break and Enter,36
Willowdale West,Robbery,18
Willowdale West,Theft Over,4
Willowdale West,bicycle theft,49
Willowridge-Martingrove-Richview,Assault,103
Willowridge-Martingrove-Richview,Auto Theft,48
Willowridge-Martingrove-Richview,Break and Enter,34
Willowridge-Martingrove-Richview,Robbery,57
Willowridge-Martingrove-Richview,Theft Over,4
Willowridge-Martingrove-Richview,bicycle theft,2
Woburn,Assault,357
Woburn,Auto Theft,32
Woburn,Break and Enter,78
Woburn,Robbery,67
Woburn,Theft Over,16
Woburn,bicycle theft,17
Woburn,homicide,1
Woodbine Corridor,Assault,81
Woodbine Corridor,Auto Theft,9
Woodbine Corridor,Break and Enter,49
Woodbine Corridor,Robbery,7
Woodbine Corridor,Theft Over,6
Woodbine Corridor,bicycle theft,27
Woodbine-Lumsden,Assault,33
Woodbine-Lumsden,Auto Theft,1
Woodbine-Lumsden,Break and Enter,12
Woodbine-Lumsden,Robbery,3
Woodbine-Lumsden,Theft Over,5
Woodbine-Lumsden,bicycle theft,5
Wychwood,Assault,85
Wychwood,Auto Theft,18
Wychwood,Break and Enter,27
Wychwood,Robbery,9
Wychwood,Theft Over,2
Wychwood,bicycle theft,37
Yonge-Eglinton,Assault,68
Yonge-Eglinton,Auto Theft,4
Yonge-Eglinton,Break and Enter,19
Yonge-Eglinton,Robbery,17
Yonge-Eglinton,Theft Over,3
Yonge-Eglinton,bicycle theft,21
Yonge-St.Clair,Assault,39
Yonge-St.Clair,Auto Theft,7
Yonge-St.Clair,Break and Enter,13
Yonge-St.Clair,Robbery,6
Yonge-St.Clair,Theft Over,8
Yonge-St.Clair,bicycle theft,17
York University Heights,Assault,358
York University Heights,Auto Theft,106
York University Heights,Break and Enter,98
York University Heights,Robbery,70
York University Heights,Theft Over,34
York University Heights,bicycle theft,27
York University Heights,homicide,2
Yorkdale-Glen Park,Assault,178
Yorkdale-Glen Park,Auto Theft,43
Yorkdale-Glen Park,Break and Enter,65
Yorkdale-Glen Park,Robbery,24
Yorkdale-Glen Park,Theft Over,24
Yorkdale-Glen Park,bicycle theft,11
Yorkdale-Glen Park,homicide,1
