Neighbourhood Name,MCI,number_of_crime
Danforth,Theft Over,5
Danforth,bicycle theft,24
Danforth,homicide,1
Danforth East York,Assault,46
Danforth East York,Auto Theft,12
Danforth East York,Break and Enter,44
Danforth East York,Robbery,5
Danforth East York,Theft Over,4
Danforth East York,bicycle theft,22
Don Valley Village,Assault,134
Don Valley Village,Auto Theft,28
Don Valley Village,Break and Enter,64
Don Valley Village,Robbery,20
Don Valley Village,Theft Over,8
Don Valley Village,bicycle theft,2
Dorset Park,Assault,194
Dorset Park,Auto Theft,43
Dorset Park,Break and Enter,69
Dorset Park,Robbery,50
Dorset Park,Theft Over,12
Dorset Park,bicycle theft,4
Dovercourt-Wallace Emerson-Junction,Assault,251
Dovercourt-Wallace Emerson-Junction,Auto Theft,29
Dovercourt-Wallace Emerson-Junction,Break and Enter,80
Dovercourt-Wallace Emerson-Junction,Robbery,42
Dovercourt-Wallace Emerson-Junction,Theft Over,11
Dovercourt-Wallace Emerson-Junction,bicycle theft,107
Downsview-Roding-CFB,Assault,379
Downsview-Roding-CFB,Auto Theft,88
Downsview-Roding-CFB,Break and Enter,52
Downsview-Roding-CFB,Robbery,52
Downsview-Roding-CFB,Theft Over,12
Downsview-Roding-CFB,bicycle theft,16
Downsview-Roding-CFB,homicide,1
Dufferin Grove,Assault,100
Dufferin Grove,Auto Theft,7
Dufferin Grove,Break and Enter,27
Dufferin Grove,Robbery,21
Dufferin Grove,Theft Over,3
Dufferin Grove,bicycle theft,42
Dufferin Grove,homicide,1
East End-Danforth,Assault,168
East End-Danforth,Auto Theft,21
East End-Danforth,Break and Enter,79
East End-Danforth,Robbery,41
East End-Danforth,Theft Over,11
East End-Danforth,bicycle theft,51
Edenbridge-Humber Valley,Assault,29
Edenbridge-Humber Valley,Auto Theft,29
Edenbridge-Humber Valley,Break and Enter,46
Edenbridge-Humber Valley,Robbery,7
Edenbridge-Humber Valley,Theft Over,1
Edenbridge-Humber Valley,bicycle theft,4
Eglinton East,Assault,197
Eglinton East,Auto Theft,22
Eglinton East,Break and Enter,64
Eglinton East,Robbery,40
Eglinton East,Theft Over,6
Eglinton East,bicycle theft,2
Elms-Old Rexdale,Assault,61
Elms-Old Rexdale,Auto Theft,16
Elms-Old Rexdale,Break and Enter,9
Elms-Old Rexdale,Robbery,18
Elms-Old Rexdale,bicycle theft,1
Englemount-Lawrence,Assault,122
Englemount-Lawrence,Auto Theft,23
Englemount-Lawrence,Break and Enter,59
Englemount-Lawrence,Robbery,44
Englemount-Lawrence,Theft Over,8
Englemount-Lawrence,bicycle theft,17
Eringate-Centennial-West Deane,Assault,66
Eringate-Centennial-West Deane,Auto Theft,29
Eringate-Centennial-West Deane,Break and Enter,28
Eringate-Centennial-West Deane,Robbery,18
Eringate-Centennial-West Deane,Theft Over,5
Eringate-Centennial-West Deane,bicycle theft,4
Etobicoke West Mall,Assault,50
Etobicoke West Mall,Auto Theft,15
Etobicoke West Mall,Break and Enter,14
Etobicoke West Mall,Robbery,3
Etobicoke West Mall,bicycle theft,1
Etobicoke West Mall,homicide,1
Flemingdon Park,Assault,153
Flemingdon Park,Auto Theft,4
Flemingdon Park,Break and Enter,14
Flemingdon Park,Robbery,24
Flemingdon Park,Theft Over,3
